"","CD","Incumbent","Party","Obama.2012","Romney.2012","Obama.2008","McCain.2008"
"1","AK-AL","Young, Don","(R)",41.2,55.3,38.1,59.7
"2","AL-01","Bonner, Jo","(R)",37.4,61.8,38.5,60.9
"3","AL-02","Roby, Martha","(R)",36.4,62.9,35,64.5
"4","AL-03","Rogers, Mike D.","(R)",36.8,62.3,36.6,62.6
"5","AL-04","Aderholt, Rob","(R)",24,74.8,25.5,73.3
"6","AL-05","Brooks, Mo","(R)",34.9,63.9,36.3,62.6
"7","AL-06","Bachus, Spencer","(R)",24.7,74.3,25,74.1
"8","AL-07","Sewell, Terri","(D)",72.4,27.1,71.5,28.1
"9","AR-01","Crawford, Rick","(R)",36.3,61,39.2,58
"10","AR-02","Griffin, Tim","(R)",42.9,54.7,44.3,53.8
"11","AR-03","Womack, Steve","(R)",31.6,65.5,33.9,63.7
"12","AR-04","Cotton, Tom","(R)",35.9,61.8,37.4,59.9
"13","AZ-01","Kirkpatrick, Ann","(D)",47.9,50.4,47.8,51
"14","AZ-02","Barber, Ron","(D)",48.4,49.9,48.9,49.8
"15","AZ-03","Grijalva, Raul","(D)",61.4,36.9,58.2,40.7
"16","AZ-04","Gosar, Paul","(R)",31,67.2,34.4,64.2
"17","AZ-05","Salmon, Matt","(R)",34.6,63.8,36.3,62.6
"18","AZ-06","Schweikert, David","(R)",38.8,59.5,41.2,57.7
"19","AZ-07","Pastor, Ed","(D)",71.7,26.5,64.7,34.1
"20","AZ-08","Franks, Trent","(R)",36.9,61.7,38.4,60.6
"21","AZ-09","Sinema, Kyrsten","(D)",51.1,46.6,51.3,47.4
"22","CA-01","LaMalfa, Doug","(R)",40.3,56.6,42,53
"23","CA-02","Huffman, Jared","(D)",69,27,71,25
"24","CA-03","Garamendi, John","(D)",54.3,43.1,55,42
"25","CA-04","McClintock, Tom","(R)",39.5,57.9,43,54
"26","CA-05","Thompson, Mike","(D)",69.7,27.5,70,26
"27","CA-06","Matsui, Doris","(D)",69.1,28.3,68,29
"28","CA-07","Bera, Ami","(D)",50.8,46.8,51,46
"29","CA-08","Cook, Paul","(R)",41.7,55.6,42,55
"30","CA-09","McNerney, Jerry","(D)",57.8,40.1,56,41
"31","CA-10","Denham, Jeff","(R)",50.6,47,50,47
"32","CA-11","Miller, George","(D)",67.6,30,69,28
"33","CA-12","Pelosi, Nancy","(D)",84.1,12.5,84,13
"34","CA-13","Lee, Barbara","(D)",87.5,9,87,10
"35","CA-14","Speier, Jackie","(D)",74.2,23.6,73,24
"36","CA-15","Swalwell, Eric","(D)",68,29.8,67,30
"37","CA-16","Costa, Jim","(D)",58.6,39.4,57,40
"38","CA-17","Honda, Michael","(D)",71.9,25.5,69,28
"39","CA-18","Eshoo, Anna","(D)",68.2,28.9,70,27
"40","CA-19","Lofgren, Zoe","(D)",71.2,26.5,68,29
"41","CA-20","Farr, Sam","(D)",70.9,26.2,71,26
"42","CA-21","Valadao, David","(R)",54.6,43.5,52,46
"43","CA-22","Nunes, Devin","(R)",41.6,56.6,42,55
"44","CA-23","McCarthy, Kevin","(R)",36.1,61.5,36,61
"45","CA-24","Capps, Lois","(D)",54.1,43.1,56,41
"46","CA-25","McKeon, Buck","(R)",47.8,49.7,49,48
"47","CA-26","Brownley, Julia","(D)",54,43.7,56,41
"48","CA-27","Chu, Judy","(D)",62.6,35,61,35
"49","CA-28","Schiff, Adam","(D)",70.3,26.5,70,26
"50","CA-29","Cardenas, Tony","(D)",77,20.5,74,23
"51","CA-30","Sherman, Brad","(D)",65.3,32.1,66,31
"52","CA-31","Miller, Gary","(R)",57.2,40.6,56,41
"53","CA-32","Napolitano, Grace","(D)",65.2,32.5,62,35
"54","CA-33","Waxman, Henry","(D)",60.6,36.8,64,33
"55","CA-34","Becerra, Xavier","(D)",83,14.1,77,19
"56","CA-35","Negrete McLeod, Gloria","(D)",67.4,30.6,64,32
"57","CA-36","Ruiz, Raul","(D)",50.7,47.5,50,47
"58","CA-37","Bass, Karen","(D)",84.9,12.7,84,13
"59","CA-38","Sanchez, Linda","(D)",64.9,33,61,35
"60","CA-39","Royce, Ed","(R)",47.1,50.8,47,49
"61","CA-40","Roybal-Allard, Lucille","(D)",81.5,16.5,77,19
"62","CA-41","Takano, Mark","(D)",61.5,36.3,59,38
"63","CA-42","Calvert, Ken","(R)",41.4,56.5,43,54
"64","CA-43","Waters, Maxine","(D)",78,20,75,22
"65","CA-44","Hahn, Janice","(D)",84.7,13.6,81,16
"66","CA-45","Campbell, John","(R)",43,54.8,46,51
"67","CA-46","Sanchez, Loretta","(D)",61.4,36.2,58,39
"68","CA-47","Lowenthal, Alan","(D)",60,37.5,58,39
"69","CA-48","Rohrabacher, Dana","(R)",43,54.7,46,51
"70","CA-49","Issa, Darrell","(R)",45.7,52.4,49,48
"71","CA-50","Hunter, Duncan","(R)",37.6,60.4,39,58
"72","CA-51","Vargas, Juan","(D)",69.4,28.9,65,32
"73","CA-52","Peters, Scott","(D)",52.1,45.7,55,43
"74","CA-53","Davis, Susan","(D)",61.4,36.4,61,36
"75","CO-01","DeGette, Diana","(D)",69,28.8,70.9,27.6
"76","CO-02","Polis, Jared","(D)",57.9,39.5,61.2,37.2
"77","CO-03","Tipton, Scott","(R)",45.8,51.8,48.4,49.9
"78","CO-04","Gardner, Cory","(R)",39.2,58.5,41.9,56.4
"79","CO-05","Lamborn, Doug","(R)",38.3,59.1,39.7,58.8
"80","CO-06","Coffman, Mike","(R)",51.6,46.5,53.6,44.9
"81","CO-07","Perlmutter, Ed","(D)",56.1,41.3,57.4,40.7
"82","CT-01","Larson, John","(D)",63.3,35.6,65.8,32.9
"83","CT-02","Courtney, Joe","(D)",55.9,42.6,58.6,40
"84","CT-03","DeLauro, Rosa","(D)",62.6,36.3,62.6,36.2
"85","CT-04","Himes, Jim","(D)",55.1,44,59.6,39.7
"86","CT-05","Esty, Elizabeth","(D)",53.5,45.3,56.4,42.4
"87","DE-AL","Carney, John","(D)",58.6,40,61.9,36.9
"88","FL-01","Miller, Jeff","(R)",30.2,68.7,32.1,67
"89","FL-02","Southerland, Steve","(R)",46.5,52.3,47.1,52
"90","FL-03","Yoho, Ted","(R)",37.4,61.5,39.6,59.3
"91","FL-04","Crenshaw, Ander","(R)",35.4,63.7,36.6,62.7
"92","FL-05","Brown, Corrine","(D)",71.2,28.1,70.6,28.8
"93","FL-06","DeSantis, Ron","(R)",41.4,57.7,45.6,53.6
"94","FL-07","Mica, John","(R)",47.1,51.8,49.2,50
"95","FL-08","Posey, Bill","(R)",42.2,56.8,44,55.1
"96","FL-09","Grayson, Alan","(D)",61.9,37.2,60.3,39.1
"97","FL-10","Webster, Dan","(R)",45.7,53.4,47.2,52
"98","FL-11","Nugent, Rich","(R)",40.2,58.8,43.1,55.9
"99","FL-12","Bilirakis, Gus","(R)",44.8,54,46.8,52.2
"100","FL-13","Young, Bill","(R)",50.1,48.6,51.3,47.5
"101","FL-14","Castor, Kathy","(D)",65.1,34,65.2,34
"102","FL-15","Ross, Dennis","(R)",45.6,53.3,46.1,53.1
"103","FL-16","Buchanan, Vern","(R)",44.9,54.2,48.2,50.9
"104","FL-17","Rooney, Tom","(R)",41.2,57.9,43.2,55.9
"105","FL-18","Murphy, Patrick","(D)",47.6,51.7,51.2,48.1
"106","FL-19","Radel, Trey","(R)",38.8,60.6,42.4,56.9
"107","FL-20","Hastings, Alcee","(D)",82.6,17,80.5,19.1
"108","FL-21","Deutch, Ted","(D)",60.6,38.9,63.6,35.9
"109","FL-22","Frankel, Lois","(D)",54.4,44.9,56.8,42.6
"110","FL-23","Wasserman Schultz, Debbie","(D)",61.5,37.9,61.9,37.6
"111","FL-24","Wilson, Frederica","(D)",87.5,12.1,86.2,13.5
"112","FL-25","Diaz-Balart, Mario","(R)",48.7,50.8,45.6,54
"113","FL-26","Garcia, Joe","(D)",53.1,46.4,49.6,50
"114","FL-27","Ros-Lehtinen, Ileana","(R)",53.1,46.4,48.6,51
"115","GA-01","Kingston, Jack","(R)",43,55.9,44.4,55
"116","GA-02","Bishop, Sanford","(D)",58.6,40.8,57.9,41.6
"117","GA-03","Westmoreland, Lynn","(R)",33,65.9,34,65.3
"118","GA-04","Johnson, Hank","(D)",73.6,25.6,73.2,26.3
"119","GA-05","Lewis, John","(D)",83.1,15.8,84.4,15
"120","GA-06","Price, Tom","(R)",37.5,60.8,40.1,59
"121","GA-07","Woodall, Rob","(R)",38.3,60.2,39.1,60.1
"122","GA-08","Scott, Austin","(R)",37.5,61.6,37.8,61.6
"123","GA-09","Collins, Doug","(R)",20.5,78.1,24.3,74.7
"124","GA-10","Broun, Paul","(R)",36.3,62.5,38.8,60.4
"125","GA-11","Gingrey, Phil","(R)",31.5,66.9,34.7,64.3
"126","GA-12","Barrow, John","(D)",43.6,55.4,43.9,55.6
"127","GA-13","Scott, David","(D)",69.2,30,67.1,32.3
"128","GA-14","Graves, Tom","(R)",25.3,73.2,27.8,71
"129","HI-01","Hanabusa, Colleen","(D)",69.7,29,70.3,28.3
"130","HI-02","Gabbard, Tulsi","(D)",71.4,26.7,73.4,24.9
"131","IA-01","Braley, Bruce","(D)",56.2,42.5,58.5,40.4
"132","IA-02","Loebsack, David","(D)",55.8,42.7,57.1,41.6
"133","IA-03","Latham, Tom","(R)",51.4,47.2,52.4,46.3
"134","IA-04","King, Steve","(R)",45.3,53.4,48.5,50.2
"135","ID-01","Labrador, Raul","(R)",32.2,64.9,35.1,62.5
"136","ID-02","Simpson, Mike","(R)",33.1,64.1,37.1,60.5
"137","IL-01","Rush, Bobby","(D)",79,20.2,80.8,18.5
"138","IL-02","VACANT","(D)",80.7,18.5,81.1,18.2
"139","IL-03","Lipinski, Dan","(D)",55.9,42.6,58.3,40.4
"140","IL-04","Gutierrez, Luis","(D)",80.9,17.1,80.5,18.2
"141","IL-05","Quigley, Mike","(D)",66,31.8,69.9,28.8
"142","IL-06","Roskam, Peter","(R)",45.1,53.3,51.3,47.3
"143","IL-07","Davis, Danny","(D)",87.2,11.8,89.4,9.9
"144","IL-08","Duckworth, Tammy","(D)",57.4,40.9,61.5,37.1
"145","IL-09","Schakowsky, Jan","(D)",65,33.3,68.6,30.3
"146","IL-10","Schneider, Brad","(D)",57.5,41.1,63,35.9
"147","IL-11","Foster, Bill","(D)",57.8,40.6,61.3,37.5
"148","IL-12","Enyart, William","(D)",49.7,48.2,54.7,43.6
"149","IL-13","Davis, Rodney","(R)",48.6,48.9,54.6,43.6
"150","IL-14","Hultgren, Randy","(R)",44.2,54.2,50.7,48
"151","IL-15","Shimkus, John","(R)",34.1,63.9,42.8,55.4
"152","IL-16","Kinzinger, Adam","(R)",45.2,52.9,50,48.2
"153","IL-17","Bustos, Cheri","(D)",57.6,40.6,60,38.5
"154","IL-18","Schock, Aaron","(R)",37.4,60.7,44.1,54.4
"155","IN-01","Visclosky, Pete","(D)",61.2,37.4,63.3,35.8
"156","IN-02","Walorski, Jackie","(R)",42.1,56.1,49.6,49.3
"157","IN-03","Stutzman, Marlin","(R)",35.7,62.5,43,56
"158","IN-04","Rokita, Todd","(R)",36.9,60.9,44.6,54.2
"159","IN-05","Brooks, Susan","(R)",40.7,57.5,46.6,52.6
"160","IN-06","Messer, Luke","(R)",37.3,60.4,43.6,55
"161","IN-07","Carson, Andre","(D)",62.9,35.4,66.3,32.8
"162","IN-08","Bucshon, Larry","(R)",39.6,58.4,48.1,50.6
"163","IN-09","Young, Todd","(R)",40.7,57.2,46.2,52.7
"164","KS-01","Huelskamp, Tim","(R)",27.6,70.1,31,67.2
"165","KS-02","Jenkins, Lynn","(R)",42,55.6,45.3,52.8
"166","KS-03","Yoder, Kevin","(R)",44.3,53.8,48.8,49.9
"167","KS-04","Pompeo, Mike","(R)",36.1,61.6,39.5,58.6
"168","KY-01","Whitfield, Ed","(R)",32.1,66.4,36.9,61.6
"169","KY-02","Guthrie, Brett","(R)",35.1,63.3,37.2,61.5
"170","KY-03","Yarmuth, John","(D)",55.7,42.8,56.2,42.8
"171","KY-04","Massie, Thomas","(R)",34.8,63.4,37,61.5
"172","KY-05","Rogers, Hal","(R)",23.2,75,31.6,66.6
"173","KY-06","Barr, Andy","(R)",42.2,55.8,44.8,53.7
"174","LA-01","Scalise, Steve","(R)",26.9,70.9,25.3,72.7
"175","LA-02","Richmond, Cedric","(D)",75.8,22.8,73.4,25.4
"176","LA-03","Boustany, Charles","(R)",32.3,66.1,34.1,64.2
"177","LA-04","Fleming, John","(R)",39.7,59,39.9,58.9
"178","LA-05","Alexander, Rodney","(R)",37.7,61,36.7,62
"179","LA-06","Cassidy, Bill","(R)",32,66.1,30.9,67.5
"180","MA-01","Neal, Richard","(D)",64,34.3,64.1,33.7
"181","MA-02","McGovern, Jim","(D)",58.7,39.2,60.4,37.5
"182","MA-03","Tsongas, Niki","(D)",56.9,41.4,58.8,39.4
"183","MA-04","Kennedy, Joe","(D)",57.1,41.3,60.4,37.9
"184","MA-05","Markey, Ed","(D)",65.2,33.1,66.2,32.1
"185","MA-06","Tierney, John","(D)",54.7,43.9,56.9,41.4
"186","MA-07","Capuano, Mike","(D)",82.5,15.6,81.9,16.7
"187","MA-08","Lynch, Stephen","(D)",57.8,40.8,57.9,40.5
"188","MA-09","Keating, Bill","(D)",55.5,43.1,57.8,40.6
"189","MD-01","Harris, Andy","(R)",37.8,60.3,38.4,59.6
"190","MD-02","Ruppersberger, Dutch","(D)",62.9,35.1,60.6,37.5
"191","MD-03","Sarbanes, John","(D)",60.6,37.2,60.1,38
"192","MD-04","Edwards, Donna","(D)",78.3,20.7,77.3,21.8
"193","MD-05","Hoyer, Steny","(D)",66.2,32.3,65.1,33.6
"194","MD-06","Delaney, John","(D)",55.4,42.6,56.3,42
"195","MD-07","Cummings, Elijah","(D)",76,22.5,76.2,22.4
"196","MD-08","Van Hollen, Chris","(D)",62,36.1,62.8,35.6
"197","ME-01","Pingree, Chellie","(D)",59.6,38.2,60.7,37.5
"198","ME-02","Michaud, Mike","(D)",52.9,44.4,54.6,43.4
"199","MI-01","Benishek, Dan","(R)",45.3,53.6,49.7,48.4
"200","MI-02","Huizenga, Bill","(R)",43.1,56,48,50.3
"201","MI-03","Amash, Justin","(R)",45.8,53.1,49.7,48.6
"202","MI-04","Camp, David","(R)",45.5,53.5,49.6,48.6
"203","MI-05","Kildee, Dan","(D)",60.7,38.3,63,35.3
"204","MI-06","Upton, Fred","(R)",48.8,50.2,53.1,45.2
"205","MI-07","Walberg, Tim","(R)",47.9,51,50.8,47.4
"206","MI-08","Rogers, Mike J.","(R)",48,51.1,52,46.4
"207","MI-09","Levin, Sander","(D)",57.2,41.9,58.1,40.1
"208","MI-10","Miller, Candice","(R)",43.7,55.3,48,50
"209","MI-11","Bentivolio, Kerry","(R)",46.9,52.3,50.2,48.3
"210","MI-12","Dingell, John","(D)",66.2,32.8,66.9,31.4
"211","MI-13","Conyers, John","(D)",85.2,14.3,84.8,14.2
"212","MI-14","Peters, Gary","(D)",81,18.6,82.2,17.1
"213","MN-01","Walz, Tim","(D)",49.6,48.2,50.8,46.7
"214","MN-02","Kline, John","(R)",49.1,49,50.5,47.6
"215","MN-03","Paulsen, Erik","(R)",49.6,48.8,51,47.4
"216","MN-04","McCollum, Betty","(D)",62.5,35.5,62.6,35.5
"217","MN-05","Ellison, Keith","(D)",73.5,24,73.4,24.5
